Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
French Polynesia,PYF,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Gabon,GAB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,82.5
Gabon,GAB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Gabon,GAB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Gabon,GAB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,18269350434
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,8016.990495
Gabon,GAB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
"Gambia, The",GMB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,69.375
"Gambia, The",GMB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
"Gambia, The",GMB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
"Gambia, The",GMB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,2078070684
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,835.5944214
"Gambia, The",GMB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Georgia,GEO,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,88.125
Georgia,GEO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Georgia,GEO,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Georgia,GEO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,18700241392
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,5042.385528
Georgia,GEO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Georgia,GEO,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Germany,DEU,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,97.5
Germany,DEU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Germany,DEU,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Germany,DEU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,4.22312E+12
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,50801.78671
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.569999933
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Ghana,GHA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,75
Ghana,GHA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Ghana,GHA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Ghana,GHA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,77594279055
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2445.290749
Ghana,GHA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Ghana,GHA,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Gibraltar,GIB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
Gibraltar,GIB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Gibraltar,GIB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Gibraltar,GIB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,NA
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
Gibraltar,GIB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Gibraltar,GIB,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Greece,GRC,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Greece,GRC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Greece,GRC,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Greece,GRC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,2.16241E+11
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,20276.54467
Greece,GRC,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,14.71000004
Greece,GRC,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Greenland,GRL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
Greenland,GRL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Greenland,GRL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Greenland,GRL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,NA
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
Greenland,GRL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Greenland,GRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Grenada,GRD,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,80.625
Grenada,GRD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Grenada,GRD,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Grenada,GRD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1122083185
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9928.621733
Grenada,GRD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Grenada,GRD,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Guam,GUM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
Guam,GUM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Guam,GUM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Guam,GUM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,NA
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
Guam,GUM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Guam,GUM,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Guatemala,GTM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,70.625
Guatemala,GTM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Guatemala,GTM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Guatemala,GTM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,85986321551
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,5025.575573
Guatemala,GTM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Guatemala,GTM,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Guinea,GIN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,73.75
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Guinea,GIN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Guinea,GIN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,15850520384
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1174.352972
Guinea,GIN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Guinea-Bissau,GNB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,42.5
Guinea-Bissau,GNB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Guinea-Bissau,GNB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Guinea-Bissau,GNB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1638517533
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,812.962373
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Guyana,GUY,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,86.875
Guyana,GUY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Guyana,GUY,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Guyana,GUY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,7409179921
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,9374.80457
Guyana,GUY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Guyana,GUY,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Haiti,HTI,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,61.25
Haiti,HTI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Haiti,HTI,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Haiti,HTI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,20944392615
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1814.674048
Haiti,HTI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Haiti,HTI,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Honduras,HND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,75
Honduras,HND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Honduras,HND,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Honduras,HND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,28488668302
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2831.033021
Honduras,HND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Honduras,HND,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
"Hong Kong SAR, China",HKG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,91.875
"Hong Kong SAR, China",HKG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
"Hong Kong SAR, China",HKG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
"Hong Kong SAR, China",HKG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,3.68139E+11
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,49660.63424
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Hungary,HUN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,96.875
Hungary,HUN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Hungary,HUN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Hungary,HUN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1.82281E+11
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,18772.67329
Hungary,HUN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.050000191
Hungary,HUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Iceland,ISL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Iceland,ISL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Iceland,ISL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Iceland,ISL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,25458933916
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,68383.76534
Iceland,ISL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.019999981
Iceland,ISL,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
India,IND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,74.375
India,IND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
India,IND,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
India,IND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3.1734E+12
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2277.434347
India,IND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Indonesia,IDN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,64.375
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Indonesia,IDN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Indonesia,IDN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1.18609E+12
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4291.812554
Indonesia,IDN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.829999924
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
"Iran, Islamic Rep.",IRN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,31.25
"Iran, Islamic Rep.",IRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
"Iran, Islamic Rep.",IRN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
"Iran, Islamic Rep.",IRN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,NA
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Iraq,IRQ,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,45
Iraq,IRQ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Iraq,IRQ,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Iraq,IRQ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,2.07889E+11
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5048.387813
Iraq,IRQ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Iraq,IRQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Ireland,IRL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Ireland,IRL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Ireland,IRL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Ireland,IRL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,4.9856E+11
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,99152.10257
Ireland,IRL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.190000057
Ireland,IRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Isle of Man,IMN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
Isle of Man,IMN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Isle of Man,IMN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Isle of Man,IMN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,NA
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
Isle of Man,IMN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Isle of Man,IMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Israel,ISR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,80.625
Israel,ISR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Israel,ISR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Israel,ISR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,4.81591E+11
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,51430.07968
Israel,ISR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Israel,ISR,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Italy,ITA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,97.5
Italy,ITA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Italy,ITA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Italy,ITA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2.09988E+12
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,35551.28499
Italy,ITA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.5
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Jamaica,JAM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,68.125
Jamaica,JAM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Jamaica,JAM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Jamaica,JAM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,13638230996
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4586.650509
Jamaica,JAM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.350000381
Jamaica,JAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Japan,JPN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,78.75
Japan,JPN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Japan,JPN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Japan,JPN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4.93742E+12
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,39285.16311
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2.799999952
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Jordan,JOR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,46.875
Jordan,JOR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Jordan,JOR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Jordan,JOR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,45243661972
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4405.839424
Jordan,JOR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Jordan,JOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Kazakhstan,KAZ,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,69.375
Kazakhstan,KAZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Kazakhstan,KAZ,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Kazakhstan,KAZ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1.90814E+11
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,10041.48984
Kazakhstan,KAZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Kazakhstan,KAZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Kenya,KEN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,80.625
Kenya,KEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Kenya,KEN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Kenya,KEN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1.10347E+11
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,2006.83224
Kenya,KEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Kiribati,KIR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,76.25
Kiribati,KIR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Kiribati,KIR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Kiribati,KIR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,NA
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
Kiribati,KIR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Kiribati,KIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
"Korea, Dem. People's Rep.",PRK,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
"Korea, Dem. People's Rep.",PRK,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
"Korea, Dem. People's Rep.",PRK,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
"Korea, Dem. People's Rep.",PRK,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,NA
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
"Korea, Dem. People's Rep.",PRK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
"Korea, Dem. People's Rep.",PRK,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
"Korea, Rep.",KOR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,85
"Korea, Rep.",KOR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
"Korea, Rep.",KOR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
"Korea, Rep.",KOR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1.79853E+12
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,34757.72007
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.640000105
"Korea, Rep.",KOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Kosovo,XKX,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,91.875
Kosovo,XKX,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Kosovo,XKX,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Kosovo,XKX,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,9007159196
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4986.582469
Kosovo,XKX,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Kosovo,XKX,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Kuwait,KWT,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,35
Kuwait,KWT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
